2024-06-21 09:49:46,978 INFO    Thread-38 (_run_job):2922882 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_setup.py:_flush():76] Configure stats pid to 2922882
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_setup.py:_flush():76] Loading settings from /home/users/yz705/.config/wandb/settings
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_setup.py:_flush():76] Loading settings from /usr/project/xtmp/yz705/deep-topological-clustering/wandb/settings
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'hyperparameter-sweep', 'entity': 'icl-learning', 'root_dir': '/usr/project/xtmp/yz705/deep-topological-clustering', 'run_id': '8ruk05ii', 'sweep_param_path': '/usr/project/xtmp/yz705/deep-topological-clustering/wandb/sweep-z7ltz4lg/config-8ruk05ii.yaml', 'sweep_id': 'z7ltz4lg'}
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'graph_autoencoder.py', 'program_abspath': '/usr/project/xtmp/yz705/deep-topological-clustering/graph_autoencoder.py', 'program': '/usr/project/xtmp/yz705/deep-topological-clustering/./graph_autoencoder.py'}
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_init.py:_log_setup():520] Logging user logs to /usr/project/xtmp/yz705/deep-topological-clustering/wandb/run-20240621_094946-8ruk05ii/logs/debug.log
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_init.py:_log_setup():521] Logging internal logs to /usr/project/xtmp/yz705/deep-topological-clustering/wandb/run-20240621_094946-8ruk05ii/logs/debug-internal.log
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_init.py:init():560] calling init triggers
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_init.py:init():567] wandb.init called with sweep_config: {'epochs': 180, 'lr': 0.06256412011138042, 'numSampledCCs': 15, 'pretrain_epochs': 60}
config: {}
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_init.py:init():610] starting backend
2024-06-21 09:49:46,979 INFO    Thread-38 (_run_job):2922882 [wandb_init.py:init():614] setting up manager
2024-06-21 09:49:46,988 INFO    Thread-38 (_run_job):2922882 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-21 09:49:46,989 INFO    Thread-38 (_run_job):2922882 [wandb_init.py:init():622] backend started and connected
2024-06-21 09:49:47,007 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_config_callback():1376] config_cb None None {'epochs': 180, 'lr': 0.06256412011138042, 'numSampledCCs': 15, 'pretrain_epochs': 60}
2024-06-21 09:49:47,008 INFO    Thread-38 (_run_job):2922882 [wandb_init.py:init():711] updated telemetry
2024-06-21 09:49:47,024 INFO    Thread-38 (_run_job):2922882 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-21 09:49:47,323 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_on_init():2396] communicating current version
2024-06-21 09:49:47,491 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_on_init():2405] got version response upgrade_message: "wandb version 0.17.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-06-21 09:49:47,491 INFO    Thread-38 (_run_job):2922882 [wandb_init.py:init():795] starting run threads in backend
2024-06-21 09:49:48,160 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_console_start():2374] atexit reg
2024-06-21 09:49:48,160 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-06-21 09:49:48,160 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-06-21 09:49:48,160 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_redirect():2319] Redirects installed.
2024-06-21 09:49:48,161 INFO    Thread-38 (_run_job):2922882 [wandb_init.py:init():838] run started, returning control to user process
2024-06-21 09:54:17,387 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_finish():2103] finishing run icl-learning/hyperparameter-sweep/8ruk05ii
2024-06-21 09:54:17,388 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-06-21 09:54:17,388 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_restore():2326] restore
2024-06-21 09:54:17,388 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_restore():2332] restore done
2024-06-21 09:54:21,730 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-06-21 09:54:21,731 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-06-21 09:54:21,750 INFO    Thread-38 (_run_job):2922882 [wandb_run.py:_footer_sync_info():3953] logging synced files
